title,runtime_minutes,genres,averagerating,domestic_gross,foreign_gross,year,global_sales
The Descendants,115.0,"Comedy,Drama",7.3,82600000.0,94700000.0,2011,177300000.0
The Descendants,80.0,Drama,7.5,82600000.0,94700000.0,2011,177300000.0
Iron Sky,93.0,"Action,Comedy,Sci-Fi",5.9,122000.0,8000000.0,2012,8122000.0
The Eagle,114.0,"Action,Adventure,Drama",6.2,19500000.0,7600000.0,2011,27100000.0
Suspiria,152.0,"Fantasy,Horror,Mystery",6.8,2500000.0,5400000.0,2018,7900000.0
The Book of Eli,118.0,"Action,Adventure,Drama",6.9,94800000.0,62300000.0,2010,157100000.0
The Bounty Hunter,110.0,"Action,Comedy,Romance",5.6,67099999.0,69300000.0,2010,136399999.0
The Nutcracker in 3D,110.0,"Action,Family,Fantasy",4.3,195000.0,16000000.0,2010,16195000.0
The Legend of Hercules,99.0,"Action,Adventure,Fantasy",4.2,18800000.0,42400000.0,2014,61200000.0
Silver Linings Playbook,122.0,"Comedy,Drama,Romance",7.7,132100000.0,104300000.0,2012,236400000.0
Unfinished Song,90.0,"Comedy,Drama,Music",7.0,1700000.0,5300000.0,2013,7000000.0
Parental Guidance,105.0,"Comedy,Family",6.1,77300000.0,42500000.0,2012,119800000.0
Howl,84.0,"Biography,Drama,Romance",6.8,617000.0,566000.0,2010,1183000.0
Howl,89.0,"Action,Fantasy,Horror",5.3,617000.0,566000.0,2010,1183000.0
Goosebumps,103.0,"Adventure,Comedy,Family",6.3,80100000.0,70100000.0,2015,150200000.0
Repo Men,111.0,"Action,Crime,Sci-Fi",6.3,13800000.0,4600000.0,2010,18400000.0
The Big Year,100.0,Comedy,6.2,7200000.0,244000.0,2011,7444000.0
Life as We Know It,114.0,"Comedy,Drama,Romance",6.6,53400000.0,52300000.0,2010,105700000.0
Boyhood,165.0,Drama,7.9,25400000.0,19100000.0,2014,44500000.0
Water for Elephants,120.0,"Drama,Romance",6.9,58700000.0,58400000.0,2011,117100000.0
Monte Carlo,109.0,"Adventure,Comedy,Family",5.8,23200000.0,16500000.0,2011,39700000.0
Ghost Rider: Spirit of Vengeance,96.0,"Action,Fantasy,Thriller",4.3,51800000.0,80800000.0,2012,132600000.0
Skyfall,143.0,"Action,Adventure,Thriller",7.8,304400000.0,804200000.0,2012,1108600000.0
Jonah Hex,81.0,"Action,Drama,Fantasy",4.7,10500000.0,356000.0,2010,10856000.0
Dark Shadows,113.0,"Comedy,Fantasy,Horror",6.2,79700000.0,165800000.0,2012,245500000.0
Eddie the Eagle,106.0,"Biography,Comedy,Drama",7.4,15800000.0,30400000.0,2016,46200000.0
Blended,117.0,"Comedy,Romance",6.5,46300000.0,81700000.0,2014,128000000.0
Lone Survivor,121.0,"Action,Biography,Drama",7.5,125100000.0,29700000.0,2013,154800000.0
Paul,104.0,"Adventure,Comedy,Sci-Fi",7.0,37400000.0,60600000.0,2011,98000000.0
Paul,71.0,Drama,4.8,37400000.0,60600000.0,2011,98000000.0
Shanghai,105.0,"Crime,Drama,Mystery",6.4,46400.0,9200000.0,2015,9246400.0
Shanghai,120.0,"Crime,Mystery,Thriller",7.2,46400.0,9200000.0,2015,9246400.0
The Darkest Hour,89.0,"Action,Adventure,Horror",4.9,21400000.0,43200000.0,2011,64600000.0
The Darkest Hour,52.0,"Documentary,News",6.4,21400000.0,43200000.0,2011,64600000.0
Killers,100.0,"Action,Comedy,Romance",5.4,47100000.0,51100000.0,2010,98200000.0
Killers,137.0,"Action,Crime,Drama",6.5,47100000.0,51100000.0,2010,98200000.0
Paddington,95.0,"Adventure,Comedy,Family",7.2,76300000.0,191800000.0,2015,268100000.0
Trance,83.0,Horror,4.6,2300000.0,21900000.0,2013,24200000.0
Trance,101.0,"Crime,Drama,Mystery",6.9,2300000.0,21900000.0,2013,24200000.0
Blue Valentine,112.0,"Drama,Romance",7.4,9700000.0,2600000.0,2010,12300000.0
Seventh Son,102.0,"Action,Adventure,Fantasy",5.5,17200000.0,97000000.0,2015,114200000.0
The Ides of March,101.0,"Drama,Thriller",7.1,41000000.0,35000000.0,2011,76000000.0
Free State of Jones,139.0,"Action,Biography,Drama",6.9,20800000.0,4200000.0,2016,25000000.0
Big Eyes,106.0,"Biography,Crime,Drama",7.0,14500000.0,14800000.0,2014,29300000.0
Burlesque,119.0,"Drama,Music,Musical",6.4,39400000.0,50100000.0,2010,89500000.0
Morning Glory,107.0,"Comedy,Drama,Romance",6.5,31000000.0,29000000.0,2010,60000000.0
Shutter Island,138.0,"Mystery,Thriller",8.1,128000000.0,166800000.0,2010,294800000.0
Lay the Favorite,94.0,"Comedy,Drama,Romance",4.8,21000.0,1600000.0,2012,1621000.0
Green Lantern,114.0,"Action,Adventure,Sci-Fi",5.5,116600000.0,103300000.0,2011,219900000.0
Takers,107.0,"Action,Crime,Thriller",6.2,57700000.0,11300000.0,2010,69000000.0
The Ghost Writer,128.0,"Drama,Mystery,Thriller",7.2,15500000.0,44700000.0,2010,60200000.0
Frankenweenie,87.0,"Animation,Comedy,Family",7.0,35300000.0,46200000.0,2012,81500000.0
Holy Rollers,89.0,"Biography,Crime,Drama",5.9,303000.0,305000.0,2010,608000.0
Beastly,86.0,"Drama,Fantasy,Romance",5.6,27900000.0,15300000.0,2011,43200000.0
Freakonomics,93.0,Documentary,6.4,101000.0,16400.0,2010,117400.0
The Joneses,117.0,"Comedy,Drama",6.9,1500000.0,5500000.0,2010,7000000.0
The Joneses,80.0,"Biography,Documentary",5.9,1500000.0,5500000.0,2010,7000000.0
The Karate Kid,140.0,"Action,Drama,Family",6.2,176600000.0,182500000.0,2010,359100000.0
The Rite,114.0,"Drama,Horror,Mystery",6.0,33000000.0,63000000.0,2011,96000000.0
Biutiful,148.0,"Drama,Romance",7.5,5100000.0,20000000.0,2011,25100000.0
The Hobbit: The Desolation of Smaug,161.0,"Adventure,Fantasy",7.8,258399999.0,700000000.0,2013,958399999.0
